,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Mahébourg,40,MU,1593531056,78,-20.41,57.7,71.6,2.24
86,Santa María del Oro,88,MX,1593531057,37,25.93,-105.37,78.6,5.17
87,Dennery,75,LC,1593531058,70,13.9,-60.89,86.0,23.04
88,Camacha,20,PT,1593531060,69,33.08,-16.33,73.4,13.87
89,New Norfolk,90,AU,1593531061,89,-42.78,147.06,43.0,5.99
90,Bredasdorp,10,ZA,1593531062,72,-34.53,20.04,62.6,9.17
91,Airai,94,TL,1593530843,100,-8.93,125.41,55.2,2.3
92,Sulangan,1,PH,1593531065,70,11.14,123.72,84.27,6.22
93,Yatou,74,CN,1593531066,84,37.15,122.38,65.61,6.46
94,Atuona,0,PF,1593530833,75,-9.8,-139.03,80.02,20.09
95,Puerto Ayora,75,EC,1593531069,78,-0.74,-90.35,73.4,12.75
96,Lüderitz,0,NA,1593531070,24,-26.65,15.16,78.8,4.7
97,Lebanon,40,US,1593530951,83,36.21,-86.29,79.0,6.93
98,Bukachacha,19,RU,1593531073,60,52.98,116.92,60.57,6.33
99,Ribeira Grande,75,PT,1593531074,88,38.52,-28.7,69.8,17.22
100,Port Blair,100,IN,1593531075,81,11.67,92.75,81.79,15.21
101,Salinas,1,US,1593530832,67,36.68,-121.66,62.6,12.75
102,Kapaa,20,US,1593531078,78,22.08,-159.32,78.8,11.41
103,Port Macquarie,5,AU,1593530860,97,-31.43,152.92,46.99,5.46
104,Dymer,20,UA,1593531081,53,50.79,30.3,77.0,11.18
105,La Ronge,90,CA,1593531082,87,55.1,-105.28,57.2,11.41
106,Uyuni,0,BO,1593531083,40,-20.46,-66.83,45.07,13.15
107,Turukhansk,53,RU,1593531084,82,65.82,87.98,57.04,11.54
108,Santa Rosa,40,PH,1593531086,78,14.31,121.11,82.99,3.36
109,Saskylakh,0,RU,1593530839,36,71.92,114.08,82.04,7.4
110,Coquimbo,48,CL,1593531088,81,-29.95,-71.34,53.6,4.7
111,Gazimurskiy Zavod,73,RU,1593531090,72,51.55,118.33,59.07,0.92
112,Berbera,15,SO,1593531091,36,10.44,45.01,98.94,9.84
113,Shubarkuduk,24,KZ,1593531092,44,49.14,56.49,67.14,6.64
114,Alekseyevka,72,RU,1593531093,68,50.63,38.69,73.45,5.41
115,Bodaybo,7,RU,1593531095,66,57.85,114.19,64.87,0.96
116,Cuauhtémoc,76,MX,1593531096,53,28.42,-106.87,70.0,8.99
117,Flin Flon,90,CA,1593531097,93,54.77,-101.86,55.4,4.7
118,Mount Gambier,0,AU,1593531022,70,-37.83,140.77,48.2,11.41
119,Mossamedes,0,AO,1593530867,62,-15.2,12.15,75.31,11.12
120,Severo-Kuril'sk,97,RU,1593531102,89,50.68,156.12,46.6,16.89
121,Nahrin,81,AF,1593531103,36,36.06,69.13,76.86,2.21
122,Guerrero Negro,2,MX,1593531104,62,27.98,-114.06,70.27,10.87
123,Cayenne,75,GF,1593531106,70,4.93,-52.33,86.0,9.17
124,Byron Bay,90,AU,1593531107,93,-28.65,153.62,51.8,4.99
125,Mayumba,0,GA,1593531108,75,-3.43,10.66,74.3,7.92
126,Manbij,0,SY,1593531110,17,36.53,37.95,91.4,18.34
127,Kidal,80,ML,1593531111,20,18.44,1.41,99.99,2.91
128,Vanimo,73,PG,1593531112,78,-2.67,141.3,78.53,1.81
129,Omboué,18,GA,1593531113,71,-1.57,9.26,74.86,9.06
130,Saint George,1,US,1593531115,16,37.1,-113.58,72.0,1.66
131,Saint-Philippe,35,RE,1593531116,72,-21.36,55.77,68.0,3.36
132,Vostok,0,RU,1593530878,97,46.49,135.88,52.59,1.01
133,Clyde River,75,CA,1593531119,93,70.47,-68.59,35.6,12.75
134,Nome,90,US,1593531120,87,64.5,-165.41,42.8,8.05
135,Leningradskiy,100,RU,1593531121,96,69.38,178.42,33.67,4.68
136,Nyurba,4,RU,1593531123,62,63.28,118.33,67.84,2.53
137,Aste,65,IT,1593531124,44,45.79,11.1,87.01,4.0
138,Lashio,100,MM,1593531125,98,22.93,97.75,70.83,1.5
139,Idrinskoye,92,RU,1593531126,69,54.37,92.14,60.8,5.86
140,Kargasok,21,RU,1593531128,81,59.06,80.86,51.44,0.87
141,Kahului,90,US,1593531055,83,20.89,-156.47,77.0,5.82
142,Bengkulu,0,ID,1593531130,76,-3.8,102.27,76.51,4.85
143,Porbandar,100,IN,1593531133,77,21.64,69.61,84.13,5.86
144,Dingzhou,0,CN,1593531134,88,38.51,115.0,71.6,2.24
145,Waipawa,95,NZ,1593531135,81,-41.41,175.52,48.2,33.33
146,Ancud,90,CL,1593531137,100,-41.87,-73.82,50.0,6.93
147,Kutum,66,SD,1593531138,31,14.2,24.67,86.27,10.22
148,Kapuskasing,75,CA,1593531139,54,49.42,-82.43,84.2,6.93
149,Ereymentau,20,KZ,1593531140,46,51.62,73.1,70.36,10.71
150,Sola,52,VU,1593531142,81,-13.88,167.55,77.13,25.46
151,Iqaluit,75,CA,1593531143,80,63.75,-68.51,39.2,6.93
152,Fairbanks,75,US,1593531144,81,64.84,-147.72,50.0,4.7
153,Chapais,1,CA,1593531146,47,49.78,-74.85,77.0,6.93
154,Beringovskiy,100,RU,1593531147,97,63.05,179.32,41.68,8.14
155,Codrington,0,AU,1593531148,70,-38.27,141.97,44.46,11.52
156,Asău,21,RO,1593531150,78,46.43,26.4,70.0,2.95
157,Ostrovnoy,81,RU,1593531151,53,68.05,39.51,59.41,21.21
158,Caravelas,100,BR,1593531152,88,-17.71,-39.25,74.21,4.92
159,Aljezur,2,PT,1593531153,76,37.32,-8.8,80.01,12.77
160,Magnitogorsk,40,RU,1593531155,33,53.42,59.05,62.6,13.42
161,Ivybridge,100,GB,1593531156,97,50.39,-3.92,63.0,4.0
162,Linkou,2,CN,1593531157,91,45.3,130.28,58.28,2.75
163,Puerto Cabezas,40,NI,1593531159,79,14.04,-83.39,86.0,4.7
164,Castro,2,BR,1593531160,71,-24.79,-50.01,67.35,20.45
165,Antibes,75,FR,1593531161,74,43.56,7.13,80.6,5.82
166,Paragominas,1,BR,1593531162,73,-2.97,-47.48,84.51,2.95
167,Aklavik,75,CA,1593531164,87,68.22,-135.01,59.0,4.54
168,Vao,1,NC,1593531165,66,-22.67,167.48,67.82,17.4
169,Mizdah,0,LY,1593531166,10,31.45,12.98,97.59,16.31
170,Geraldton,90,AU,1593531168,82,-28.77,114.6,60.8,6.93
171,Beipiao,9,CN,1593531169,60,41.79,120.78,70.57,5.08
172,Hithadhoo,0,MV,1593530841,66,-0.6,73.08,84.85,5.46
173,Thompson,90,CA,1593531172,93,55.74,-97.86,55.4,11.41
174,Vitim,3,RU,1593531173,57,59.45,112.56,67.06,3.38
